# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.mutableEntityStorage.replace.by.source.ms,1755220909868000000,1755220969620000000,0
jps.global.handle.before.change.events.ms,1755220909868000000,1755220969620000000,0
workspaceModel.sync.entities.ms,1755220909868000000,1755220969620000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1755220909868000000,1755220969620000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1755220909868000000,1755220969620000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1755220909868000000,1755220969620000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1755220909868000000,1755220969620000000,0
workspaceModel.mutableEntityStorage.entities.ms,1755220909868000000,1755220969620000000,0
workspaceModel.mutableEntityStorage.instances.count,1755220909868000000,1755220969620000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1755220909868000000,1755220969620000000,0
jps.global.handle.changed.events.ms,1755220909868000000,1755220969620000000,0
jps.library.entities.serializer.load.entities.ms,1755220909868000000,1755220969620000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1755220909868000000,1755220969620000000,0
jps.save.global.entities.ms,1755220909868000000,1755220969620000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1755220909868000000,1755220969620000000,0
jps.global.initialize.library.bridges.after.loading.ms,1755220909868000000,1755220969620000000,0
jps.library.entities.serializer.save.entities.ms,1755220909868000000,1755220969620000000,0
workspaceModel.global.updates.count,1755220909868000000,1755220969620000000,0
workspaceModel.load.cache.from.file.ms,1755220909868000000,1755220969620000000,0
jps.app.storage.content.reader.load.component.ms,1755220909868000000,1755220969620000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1755220909868000000,1755220969620000000,0
workspaceModel.load.cache.metadata.from.file.ms,1755220909868000000,1755220969620000000,0
jps.global.get.libraries.ms,1755220909868000000,1755220969620000000,0
jps.global.initialize.library.bridges.ms,1755220909868000000,1755220969620000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1755220909868000000,1755220969620000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1755220909868000000,1755220969620000000,0
workspaceModel.global.apply.state.to.project.ms,1755220909868000000,1755220969620000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1755220909868000000,1755220969620000000,0
